params=NS_Sample,00000;
NM_001275.3:292,CHGA
NM_001993.3:1030,F3
NM_016584.2:411,IL-23
NM_002276.4:96,CK19
NM_002500.2:1275,NEUROD1
NM_024675.3:3550,PALB2
NM_014352.3:968,POU2F3
NM_021144.3:134,p75
NM_004348.3:1850,RUNX2
NM_001104587.1:920,SLFN11
NM_000345.3:382,PD-1
NM_000455.4:1431,STK11
NM_001065.3:1910,TNFR1
NM_007344.2:1527,TTF1
